,value
it_spend_pct_revenue,0.8580000000000001
cost_per_user,286.0
project_roi,125.16556291390728
budget_variance,33.38235294117647
avg_satisfaction,4.245410093532133
nps_score,55.0
service_adoption_pct,152.06666666666666
first_call_resolution,84.1113933197791
cost_reduction_pct,-1.6387990285001788
vendor_concentration,0.8
budget_efficiency,56.70666666666667
cost_avoidance,42900.0
satisfaction_variance,0.19563709969806156
avg_response_rate,69.80796525995295
satisfaction_trend,Stable
employee_satisfaction,3.971612559992235
avg_availability,98.93073123124039
sla_compliance,96.30305599217695
avg_resolution_hours,5.1195013439615185
service_catalog_items,30.0
incident_reduction_pct,-5.062345581793482
