field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
Budget Category,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['IT Project Portfolio', 'IT Project Portfolio', 'IT Project Portfolio']",,
Period,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['Q1 2025', 'Q2 2025', 'Q3 2025']",,
Initial Budget,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[234765, 131455, 287339]",,
Actual Spend,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[209282, 147409, 300772]",,
Variance Amount,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[-25483, 15954, 13433]",,
Variance %,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['-10.9 %', '12.1 %', '4.7 %']",,
Variance Alert,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['Overrun', 'Overrun', 'OK']",,
Cumulative to Date,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[46220, 146862, 168625]",,
Remaining Budget,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[188545, -15407, 118714]",,
Prior Year Spend,Budget Analysis,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[248033, 141972, 271244]",,
Vendor,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['Microsoft', 'Microsoft', 'AWS']",,
System/Product,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['Network', 'Cloud Storage', 'Email']",,
Contract Start Date,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['2023-09-09', '2024-01-19', '2021-09-29']",,
Contract End Date,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['2024-12-27', '2025-08-09', '2023-04-21']",,
Annual Spend,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"[447406, 328477, 347725]",,
Contract Status,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['Expired', 'Expired', 'Expired']",,
Days Until Expiry,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"[-235, -10, -851]",,
Expiration Alert,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['No', 'No', 'No']",,
Renewal Option,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['Auto-Renew', 'Manual', 'Manual']",,
Negotiation Recommended,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['No', 'Yes', 'Yes']",,
Last Negotiation Date,Contracts & Vendors,CSV Column,src\metrics\cfo\cfo_contract_expiration_alerts_examples.csv,"['2023-11-14', '2024-07-09', '2022-02-24']",,
Grant Program/Source,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Title III HBCU', 'NSF S-STEM', 'Gates Digital Equity']",,
Grant Code,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['PQC-T3-2023', 'PQC-NSF-2024', 'PQC-GATES-2025']",,
FY,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[2024, 2025, 2025]",,
Award Amount ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[1074724, 1694888, 404398]",,
Grant Period Start,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2023-07-20', '2022-10-11', '2023-05-23']",,
Grant Period End,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2025-07-05', '2024-03-01', '2024-12-01']",,
Permitted Spend Categories,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Instruction:30%, Tech:26%, Scholar:15%, Admin:4%, Other:25%', 'Instruction:31%, Tech:25%, Scholar:9%, Admin:4%, Other:31%', 'Instruction:56%, Tech:16%, Scholar:13%, Admin:11%, Other:4%']",,
Spend To Date ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[385639, 892643, 353883]",,
Unspent Balance ($),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[689085, 802245, 50515]",,
Compliance Rate (%),Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[96.6, 95.66, 93.94]",,
Compliance Issues Flag,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Open', 'Closed']",,
Last Compliance Audit Date,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2024-04-19', '2023-10-20', '2024-04-21']",,
Audit Exceptions,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[0, 0, 0]",,
Issue Description/Status,Grant Compliance,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,[],,
