field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
Application,General,CSV Column,src\metrics\cio\app_cost_analysis_dashboard_examples_backup.csv,"['Office 365', 'Canvas LMS', 'Zoom']",,
Metric,General,CSV Column,src\metrics\cio\app_cost_analysis_dashboard_examples_backup.csv,"['Total Cost of Ownership (TCO)', 'Total Cost of Ownership (TCO)', 'Total Cost of Ownership (TCO)']",,
Description,General,CSV Column,src\metrics\cio\app_cost_analysis_dashboard_examples_backup.csv,"['Sum of initial, recurring, end-of-life costs over expected service period', 'Sum of initial, recurring, end-of-life costs over expected service period', 'Sum of initial, recurring, end-of-life costs over expected service period']",,
Example,General,CSV Column,src\metrics\cio\app_cost_analysis_dashboard_examples_backup.csv,"['$136,888', '$116,736', '$48,815']",,
date,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
application,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"['Office 365', 'Canvas LMS', 'Zoom']",,
daily_cost,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[816.0146787196784, 578.6286250630029, 195.62844851292743]",,
monthly_cost,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[23968.095397941783, 18008.5048457465, 6454.054018456023]",,
annual_cost,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[285000.0, 220000.0, 75000.0]",,
licenses_total,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[213, 263, 213]",,
licenses_used,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[152, 171, 201]",,
utilization_rate,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[71.36150234741784, 65.0190114068441, 94.3661971830986]",,
cost_per_user,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[154.1095890410959, 105.74381158375392, 30.66857493355142]",,
redundancy_index,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[0.5190609389379257, 0.3335960277973153, 0.6827098485602953]",,
consolidation_potential,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"['Yes', 'No', 'No']",,
support_cost,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[117.12328767123287, 90.4109589041096, 30.821917808219176]",,
compliance_cost,General,CSV Column,src\metrics\cio\app_cost_analysis_metrics.csv,"[39.04109589041096, 30.136986301369863, 10.273972602739724]",,
