field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
Asset,General,CSV Column,src\metrics\cto\asset_lifecycle_management_dashboard_examples.csv,"['Core Network Switch', 'Dell Server R740', 'Staff Laptop A14']",,
Metric,General,CSV Column,src\metrics\cto\asset_lifecycle_management_dashboard_examples.csv,"['Asset Name', 'Asset Name', 'Asset Name']",,
Description,General,CSV Column,src\metrics\cto\asset_lifecycle_management_dashboard_examples.csv,"['Description of hardware/software asset', 'Description of hardware/software asset', 'Description of hardware/software asset']",,
Example,General,CSV Column,src\metrics\cto\asset_lifecycle_management_dashboard_examples.csv,"['Firewall', 'UPS', 'Server']",,
date,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"['2025-06-10', '2025-05-26', '2025-03-20']",,
asset_name,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"['HVAC Controller', 'Student Portal Application', 'Core Network Switch']",,
asset_type,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"['Firewall', 'Application', 'Application']",,
asset_age_years,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[1.9, 1.6, 5.1]",,
lifecycle_stage,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"['End-of-Life', 'Maintenance', 'New']",,
annual_maintenance_cost,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[12464, 2185, 13535]",,
total_assets,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[10, 10, 6]",,
end_of_life_next_12_months,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[6, 1, 0]",,
refresh_budget_utilization,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[67.29163764267956, 81.09993861334124, 71.23873301291945]",,
maintenance_cost_trend,General,CSV Column,src\metrics\cto\asset_lifecycle_management_metrics.csv,"[6426, 4433, 20942]",,
Component,General,CSV Column,src\metrics\cto\capacity_planning_dashboard_examples.csv,"['Campus WiFi', 'Data Analytics Cluster', 'Email Platform']",,
Metric,General,CSV Column,src\metrics\cto\capacity_planning_dashboard_examples.csv,"['Asset/Component', 'Asset/Component', 'Asset/Component']",,
Description,General,CSV Column,src\metrics\cto\capacity_planning_dashboard_examples.csv,"['Infrastructure element tracked for capacity', 'Infrastructure element tracked for capacity', 'Infrastructure element tracked for capacity']",,
Example,General,CSV Column,src\metrics\cto\capacity_planning_dashboard_examples.csv,"['77.7%', '65.1%', '32.4%']",,
date,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"['2025-06-04', '2025-07-25', '2025-04-18']",,
resource_type,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"['File Storage', 'Core Network', 'Campus WiFi']",,
current_utilization_pct,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"[54.69672175544872, 45.945124441022216, 58.549690085654376]",,
predicted_capacity_needed,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"[77.06217186361633, 58.365899700714266, 75.31085764745596]",,
current_capacity,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"[258, 631, 349]",,
cost_optimization_opportunity,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"[1956, 34723, 32860]",,
time_to_capacity_limit_days,General,CSV Column,src\metrics\cto\capacity_planning_metrics.csv,"[53, 181, 257]",,
Service,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_dashboard_examples.csv,"['AWS EC2', 'AWS S3', 'Azure SQL']",,
Metric,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_dashboard_examples.csv,"['Service/Resource', 'Service/Resource', 'Service/Resource']",,
Description,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_dashboard_examples.csv,"['Cloud platform/instance or service', 'Cloud platform/instance or service', 'Cloud platform/instance or service']",,
Example,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_dashboard_examples.csv,"['$11,162', '$17,441', '$34,446']",,
date,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"['2025-06-08', '2025-06-26', '2025-08-02']",,
cloud_service,Cloud Cost Optimization,CSV Column,src\metrics\cto\cloud_cost_optimization_metrics.csv,"['Google BigQuery', 'Dropbox Business', 'Canvas LMS Cloud']",,
