field_name,section,source_type,source_file,sample_values,suggested_new_name,notes
project_id,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['PQC-001', 'PQC-002', 'PQC-003']",,
project_name,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Student Portal Upgrade', 'Cloud Migration Phase 1', 'Cybersecurity Enhancement']",,
project_type,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Infrastructure', 'Transformation', 'Security']",,
priority,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['High', 'High', 'Critical']",,
requesting_department,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Student Services', 'Administration', 'IT Operations']",,
executive_sponsor,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Dr. Williams', 'Dr. Williams', 'Dr. Smith']",,
project_manager,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Alice Chen', 'Carol Kim', 'David Thompson']",,
total_budget,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"[250000, 450000, 300000]",,
project_start_date,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['2024-01-15', '2023-09-01', '2024-02-01']",,
target_end_date,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
approval_status,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Approved', 'Approved', 'Approved']",,
business_justification_score,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"[8.949227500681923, 9.424774630404986, 8.311936650645972]",,
strategic_alignment_score,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"[7.992125394866218, 8.581106602001054, 7.499652429288139]",,
scope_clarity_rating,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"[8.337498258560773, 7.637017332034828, 7.139996989640847]",,
stakeholder_buy_in,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"[72.49937289545007, 74.54562418017751, 94.34388797103648]",,
success_criteria_defined,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['Yes', 'Yes', 'Yes']",,
charter_approval_date,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['2023-10-25', '2023-07-22', '2023-11-17']",,
last_updated,General,CSV Column,src\metrics\pm\project_charter_metrics.csv,"['2025-08-24 02:00:46.643722', '2025-08-02 02:00:46.644216', '2025-08-09 02:00:46.644594']",,
date,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"['2024-08-31 02:00:46.637944', '2024-09-30 02:00:46.637944', '2024-10-31 02:00:46.637944']",,
active_projects,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[5, 5, 7]",,
completed_projects,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[4, 2, 2]",,
planned_projects,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[1, 3, 1]",,
total_portfolio_budget,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[3208858.763800162, 2740012.382078571, 2592210.924317384]",,
total_spent_ytd,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[1647478.170474309, 1264110.5381572268, 2233675.1105545536]",,
budget_variance_pct,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[-5.211966948746296, 14.60804947035103, -6.234726173287022]",,
avg_project_health_score,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[8.256395191189547, 8.075221683862564, 8.898972150813718]",,
on_time_delivery_rate,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[87.98467554559097, 77.283423208753, 80.74588209631506]",,
on_budget_delivery_rate,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[73.6202455575625, 80.00063283094686, 80.94282132964658]",,
stakeholder_satisfaction_avg,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[7.909950739909918, 8.198003604733643, 7.828477514635049]",,
resource_utilization_pct,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[85.34607103774496, 88.78667406396572, 83.0778071435721]",,
high_risk_projects,General,CSV Column,src\metrics\pm\project_portfolio_dashboard_metrics.csv,"[0, 0, 0]",,
