field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Initiative,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Online BA in Psychology', 'Hybrid MBA', 'Virtual STEM Labs']",,
Metric,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Digital Transformation Maturity', 'Digital Transformation Maturity', 'Digital Transformation Maturity']",,
Description,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Stage of transformation: Ad hoc, Basic, Established, Leading', 'Stage of transformation: Ad hoc, Basic, Established, Leading', 'Stage of transformation: Ad hoc, Basic, Established, Leading']",,
Example,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_dashboard_examples_backup.csv,"['Established', 'Leading', 'Ad hoc']",,
date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-30 16:08:17.716116', '2025-05-31 16:08:17.716116']",,
metric_type,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['overall', 'overall', 'overall']",,
initiative,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['All', 'All', 'All']",,
digital_maturity,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"['Leading', 'Established', 'Established']",,
transformation_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[64.59959749139927, 65.16371569888153, 63.601938396878936]",,
online_adoption_rate,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[44.19768385021348, 42.10065212543952, 39.50004896615343]",,
student_participation_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[63.0782846916213, 59.977483157517575, 61.136137633305005]",,
faculty_participation_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[58.14479642054066, 53.27325839881156, 59.09155486304253]",,
platform_utilization_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[49.15362266919826, 53.19867512418477, 49.20447737894587]",,
digital_literacy_students,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3.123070290498447, 3.008120947528592, 3.0725254310114374]",,
digital_literacy_faculty,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[2.705104717223132, 2.865381209652692, 2.663583841715421]",,
accessibility_compliance_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[84.09309712527794, 84.98876686933035, 86.28006886066754]",,
online_completion_rate,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[70.29908829475127, 76.05550689596181, 71.82037111388235]",,
satisfaction_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3.667286820189853, 3.509539737923236, 3.601816669188165]",,
support_ticket_resolution_hrs,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[22.272040301847845, 23.65006513098575, 23.508479763766065]",,
virtual_engagement_rate,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[44.62040226075882, 45.41963911610289, 45.297381831121285]",,
remote_enablement_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[68.17935131614344, 76.14151960070632, 69.83903100372278]",,
innovation_milestones,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[3, 3, 1]",,
digital_budget_allocation_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[15.69516524833014, 15.912297095872049, 13.91852759538812]",,
digital_credentials_volume,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\digital_transformation_metrics.csv,"[143, 236, 499]",,
