field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Grant Program/Source,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Title III HBCU', 'NSF S-STEM', 'Gates Digital Equity']",,
Grant Code,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['PQC-T3-2023', 'PQC-NSF-2024', 'PQC-GATES-2025']",,
FY,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[2024, 2025, 2025]",,
Award Amount ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[1074724, 1694888, 404398]",,
Grant Period Start,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2023-07-20', '2022-10-11', '2023-05-23']",,
Grant Period End,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2025-07-05', '2024-03-01', '2024-12-01']",,
Permitted Spend Categories,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Instruction:30%, Tech:26%, Scholar:15%, Admin:4%, Other:25%', 'Instruction:31%, Tech:25%, Scholar:9%, Admin:4%, Other:31%', 'Instruction:56%, Tech:16%, Scholar:13%, Admin:11%, Other:4%']",,
Spend To Date ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[385639, 892643, 353883]",,
Unspent Balance ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[689085, 802245, 50515]",,
Compliance Rate (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[96.6, 95.66, 93.94]",,
Compliance Issues Flag,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Open', 'Closed']",,
Last Compliance Audit Date,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2024-04-19', '2023-10-20', '2024-04-21']",,
Audit Exceptions,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[0, 0, 0]",,
Issue Description/Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,[],,
Corrective Actions (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[86, 100, 90]",,
Timely Report Filing (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[87, 95, 98]",,
Key Grant Deliverables On-Track,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Milestone 2/3', 'Behind', 'Milestone 2/3']",,
Grant Drawdown Schedule Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Ahead', 'On', 'On']",,
Disallowed/Questioned Costs ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[505, 2462, 3426]",,
Federal Financial Reporting Score,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[9.3, 9.12, 7.26]",,
Project Compliance Training Rate,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[89, 97, 91]",,
Indirect Cost Rate (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[14.28, 13.88, 9.88]",,
Document Request Response Time (days),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[7.8, 4.6, 7.9]",,
Risk of Fund Clawback,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Low', 'Low', 'Low']",,
Pending/Upcoming Reports,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['2025-09-27: Final/Quarterly', '2024-04-28: Final/Quarterly', '2025-01-15: Final/Quarterly']",,
History of Extension Requests,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[1, 1, 0]",,
Grant Renewal Eligibility Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"['Not Eligible', 'Eligible', 'Not Eligible']",,
Percent Used for Direct Instruction/Student,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[95, 59, 61]",,
Funder Satisfaction/Survey Score,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_examples.csv,"[8.3, 9.2, 8.4]",,
Grant Program/Source,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Title III HBCU', 'NSF S-STEM', 'Gates Digital Equity']",,
Grant Code,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['PQC-T3-2023', 'PQC-NSF-2024', 'PQC-GATES-2025']",,
FY,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[2024, 2025, 2025]",,
Award Amount ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[1074724, 1694888, 404398]",,
Grant Period Start,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2023-07-20', '2022-10-11', '2023-05-23']",,
Grant Period End,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2025-07-05', '2024-03-01', '2024-12-01']",,
Permitted Spend Categories,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Instruction:30%, Tech:26%, Scholar:15%, Admin:4%, Other:25%', 'Instruction:31%, Tech:25%, Scholar:9%, Admin:4%, Other:31%', 'Instruction:56%, Tech:16%, Scholar:13%, Admin:11%, Other:4%']",,
Spend To Date ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[385639, 892643, 353883]",,
Unspent Balance ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[689085, 802245, 50515]",,
Compliance Rate (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[96.6, 95.66, 93.94]",,
Compliance Issues Flag,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Open', 'Closed']",,
Last Compliance Audit Date,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['2024-04-19', '2023-10-20', '2024-04-21']",,
Audit Exceptions,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[0, 0, 0]",,
Issue Description/Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,[],,
Corrective Actions (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[86, 100, 90]",,
Timely Report Filing (%),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[87, 95, 98]",,
Key Grant Deliverables On-Track,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Milestone 2/3', 'Behind', 'Milestone 2/3']",,
Grant Drawdown Schedule Status,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"['Ahead', 'On', 'On']",,
Disallowed/Questioned Costs ($),CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[505, 2462, 3426]",,
Federal Financial Reporting Score,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_grant_compliance_report_examples (1).csv,"[9.3, 9.12, 7.26]",,
