field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Infrastructure,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['Network', 'WiFi', 'Campus Servers']",,
Metric,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['System Uptime (%)', 'System Uptime (%)', 'System Uptime (%)']",,
Description,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['Percent of time system/network is available and operational', 'Percent of time system/network is available and operational', 'Percent of time system/network is available and operational']",,
Example,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples (1).csv,"['92.02%', '99.76%', '97.55%']",,
Infrastructure,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['Network', 'WiFi', 'Campus Servers']",,
Metric,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['System Uptime (%)', 'System Uptime (%)', 'System Uptime (%)']",,
Description,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['Percent of time system/network is available and operational', 'Percent of time system/network is available and operational', 'Percent of time system/network is available and operational']",,
Example,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_dashboard_examples.csv,"['92.02%', '99.76%', '97.55%']",,
date,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['2025-06-23', '2025-02-28', '2025-04-09']",,
system_name,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['VPN Gateway', 'WiFi', 'Network']",,
system_uptime_pct,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[97.81472940387926, 99.37800450490424, 96.1411851029078]",,
response_time_ms,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[140, 453, 242]",,
incidents_resolved,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[1, 3, 0]",,
performance_score,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"[8.626524294831505, 6.110076740561661, 6.592711712919781]",,
incident_severity,CTO - Technology Operator,CSV Column,src\metrics\cto\infrastructure_performance_metrics.csv,"['Medium', 'High', 'Critical']",,
