field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Project,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Student Portal Upgrade', 'Cybersecurity Enhancement', 'Cloud Migration']",,
Metric,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Risk Exposure Level', 'Risk Exposure Level', 'Risk Exposure Level']",,
Description,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['Severity × Probability aggregate across all risks', 'Severity × Probability aggregate across all risks', 'Severity × Probability aggregate across all risks']",,
Example,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_dashboard_metrics_examples_backup.csv,"['7', '4', '8']",,
date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
project,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['Student Portal Upgrade', 'Cybersecurity Enhancement', 'Cloud Migration']",,
risk_category,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['Security', 'Security', 'Security']",,
risk_exposure_level,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.8888013813363731, 5.3074000826846905, 0.9073605570800256]",,
risk_heat_map,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['Low', 'Medium', 'Critical']",,
active_risks_count,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[7, 5, 6]",,
severity_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[4, 7, 9]",,
probability_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.2222003453340932, 0.7582000118120986, 0.1008178396755584]",,
mitigation_status,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['Open', 'Resolved', 'Resolved']",,
time_to_closure_days,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[14, 32, 45]",,
mitigation_progress_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[47.19373657552944, 34.36473084453985, 88.05483423389569]",,
control_effectiveness_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[91.77617101444916, 65.39057138810281, 71.45376077670359]",,
residual_risk_level,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[0.2666404144009119, 1.592220024805407, 0.2722081671240077]",,
incident_response_hrs,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[14, 7, 10]",,
escalated_count,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[2, 2, 1]",,
compliance_adherence_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[92.51102359216296, 94.2029182624536, 89.04265931827446]",,
financial_impact_estimate,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"[63282, 134453, 75453]",,
kri_indicator,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\risk_metrics.csv,"['Resource Gap', 'Cost Overrun', 'Cost Overrun']",,
