field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Initiative,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Student Portal Upgrade', 'AI Tutoring', 'LMS Modernization']",,
Metric,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Strategic Alignment Score', 'Strategic Alignment Score', 'Strategic Alignment Score']",,
Description,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['Degree to which initiative aligns with institutional strategic priorities (1-10 scale)', 'Degree to which initiative aligns with institutional strategic priorities (1-10 scale)', 'Degree to which initiative aligns with institutional strategic priorities (1-10 scale)']",,
Example,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_dashboard_examples_backup.csv,"['7.7', '9.3', '8.9']",,
date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"['2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116', '2025-05-29 16:08:17.716116']",,
initiative,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"['Student Portal Upgrade', 'AI Tutoring', 'LMS Modernization']",,
alignment_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[8.260639056530048, 7.276792004101358, 7.685770313871921]",,
mission_relevance_rating,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.5221825760655685, 3.184274110579133, 3.154246816683393]",,
student_experience_impact,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.646788357078562, 6.58509492742214, 6.363313446968157]",,
underserved_benefit_index,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[0.68539663982967, 0.5997437056311611, 0.5566006186459588]",,
equity_advancement_score,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[6.428698650041154, 6.3475842451280045, 5.94965772186416]",,
learning_outcomes_improvement_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.316048683672524, 3.601569851176797, 3.5812557792901085]",,
digital_inclusion_rating,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.177651185955952, 2.810217695886311, 2.9027666640361565]",,
retention_projection_pct,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[0.7708304425626715, 0.936121285183765, 1.6344088865512991]",,
community_engagement_level,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.187751558237404, 5.856833107959261, 5.516766739430997]",,
grant_funder_fit,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.701814932366871, 3.294020573469133, 3.2562214548226054]",,
stakeholder_support_level,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.5259270520253394, 3.613187492550599, 3.3688481592724258]",,
sustainability_factor,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[6.179736801495768, 6.282462562156503, 6.823010022460135]",,
accessibility_rating,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[3.816891820726529, 3.609762630415472, 3.963439617270572]",,
holistic_support_integration,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[5.450756272640189, 5.600378765088358, 7.557585493667398]",,
cost_per_student_benefited,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\strategic_alignment_metrics.csv,"[165.7759298518243, 161.09156212134292, 140.6835841424698]",,
