Business_Unit,Metric,Description,Example
Academic Affairs,Total IT Spend,Total annual IT expenditures by business unit,"$794,876"
Student Affairs,Total IT Spend,Total annual IT expenditures by business unit,"$718,877"
IT Operations,Total IT Spend,Total annual IT expenditures by business unit,"$728,095"
Finance & Admin,Total IT Spend,Total annual IT expenditures by business unit,"$791,173"
Registrar,Total IT Spend,Total annual IT expenditures by business unit,"$695,177"
Institutional Research,Total IT Spend,Total annual IT expenditures by business unit,"$425,168"
Library,Total IT Spend,Total annual IT expenditures by business unit,"$169,104"
Athletics,Total IT Spend,Total annual IT expenditures by business unit,"$585,031"
Academic Affairs,Operational Spend,Annual IT spending for regular operations per unit,"$116,861"
Student Affairs,Operational Spend,Annual IT spending for regular operations per unit,"$83,758"
IT Operations,Operational Spend,Annual IT spending for regular operations per unit,"$465,705"
Finance & Admin,Operational Spend,Annual IT spending for regular operations per unit,"$746,752"
Registrar,Operational Spend,Annual IT spending for regular operations per unit,"$279,012"
Institutional Research,Operational Spend,Annual IT spending for regular operations per unit,"$336,437"
Library,Operational Spend,Annual IT spending for regular operations per unit,"$418,246"
Athletics,Operational Spend,Annual IT spending for regular operations per unit,"$384,113"
Academic Affairs,Project Spend,Annual IT spending on major initiatives/projects per unit,"$544,182"
Student Affairs,Project Spend,Annual IT spending on major initiatives/projects per unit,"$203,394"
IT Operations,Project Spend,Annual IT spending on major initiatives/projects per unit,"$515,476"
Finance & Admin,Project Spend,Annual IT spending on major initiatives/projects per unit,"$283,457"
Registrar,Project Spend,Annual IT spending on major initiatives/projects per unit,"$781,010"
Institutional Research,Project Spend,Annual IT spending on major initiatives/projects per unit,"$72,877"
Library,Project Spend,Annual IT spending on major initiatives/projects per unit,"$435,833"
Athletics,Project Spend,Annual IT spending on major initiatives/projects per unit,"$474,266"
Academic Affairs,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$385,016"
Student Affairs,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$91,036"
IT Operations,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$729,940"
Finance & Admin,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$171,358"
Registrar,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$380,397"
Institutional Research,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$548,297"
Library,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$516,355"
Athletics,Spend Per FTE,Total IT spend divided by full-time equivalent staff/faculty in the unit,"$628,178"
Academic Affairs,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$650,864"
Student Affairs,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$160,252"
IT Operations,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$726,391"
Finance & Admin,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$377,647"
Registrar,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$442,170"
Institutional Research,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$559,641"
Library,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$537,554"
Athletics,Annual Spend Growth Rate,Year-over-year change in IT spend for the unit,"$584,868"
Academic Affairs,Budget Variance,Difference between actual and budgeted spend (percent),10.5%
Student Affairs,Budget Variance,Difference between actual and budgeted spend (percent),42.6%
IT Operations,Budget Variance,Difference between actual and budgeted spend (percent),44.9%
Finance & Admin,Budget Variance,Difference between actual and budgeted spend (percent),38.5%
Registrar,Budget Variance,Difference between actual and budgeted spend (percent),33.4%
Institutional Research,Budget Variance,Difference between actual and budgeted spend (percent),-2.2%
Library,Budget Variance,Difference between actual and budgeted spend (percent),15.1%
Athletics,Budget Variance,Difference between actual and budgeted spend (percent),42.4%
