Project,Metric,Description,Example
Student Portal Upgrade,Risk Exposure Level,Severity × Probability aggregate across all risks,7
Cybersecurity Enhancement,Risk Exposure Level,Severity × Probability aggregate across all risks,4
Cloud Migration,Risk Exposure Level,Severity × Probability aggregate across all risks,8
Network Infrastructure,Risk Exposure Level,Severity × Probability aggregate across all risks,5
Student Portal Upgrade,Risk Heat Map Category,Risk classified as Low/Medium/High/Critical,High
Cybersecurity Enhancement,Risk Heat Map Category,Risk classified as Low/Medium/High/Critical,Medium
Cloud Migration,Risk Heat Map Category,Risk classified as Low/Medium/High/Critical,High
Network Infrastructure,Risk Heat Map Category,Risk classified as Low/Medium/High/Critical,High
Student Portal Upgrade,Number of Active Risks,Total issues currently open,2
Cybersecurity Enhancement,Number of Active Risks,Total issues currently open,2
Cloud Migration,Number of Active Risks,Total issues currently open,7
Network Infrastructure,Number of Active Risks,Total issues currently open,4
Student Portal Upgrade,Risk Severity Distribution,Count of risks by criticality,4
Cybersecurity Enhancement,Risk Severity Distribution,Count of risks by criticality,8
Cloud Migration,Risk Severity Distribution,Count of risks by criticality,8
Network Infrastructure,Risk Severity Distribution,Count of risks by criticality,3
Student Portal Upgrade,Risk Trend Over Time,Change in risk count/severity over the last quarter,+2 in last 90 days
Cybersecurity Enhancement,Risk Trend Over Time,Change in risk count/severity over the last quarter,+1 in last 90 days
Cloud Migration,Risk Trend Over Time,Change in risk count/severity over the last quarter,+2 in last 90 days
Network Infrastructure,Risk Trend Over Time,Change in risk count/severity over the last quarter,+4 in last 90 days
Student Portal Upgrade,Risk by Project,Total issues open per project,N/A
Cybersecurity Enhancement,Risk by Project,Total issues open per project,N/A
Cloud Migration,Risk by Project,Total issues open per project,N/A
Network Infrastructure,Risk by Project,Total issues open per project,N/A
Student Portal Upgrade,Risk Response Status,Mitigation stage: Open/In Progress/Resolved,In Progress
Cybersecurity Enhancement,Risk Response Status,Mitigation stage: Open/In Progress/Resolved,In Progress
Cloud Migration,Risk Response Status,Mitigation stage: Open/In Progress/Resolved,In Progress
Network Infrastructure,Risk Response Status,Mitigation stage: Open/In Progress/Resolved,Open
