date,project,risk_category,risk_exposure_level,risk_heat_map,active_risks_count,severity_score,probability_score,mitigation_status,time_to_closure_days,mitigation_progress_pct,control_effectiveness_pct,residual_risk_level,incident_response_hrs,escalated_count,compliance_adherence_pct,financial_impact_estimate,kri_indicator
2025-05-29 16:08:17.716116,Student Portal Upgrade,Security,0.8888013813363731,Low,7,4,0.22220034533409327,Open,14,47.193736575529435,91.77617101444915,0.2666404144009119,14,2,92.51102359216297,63282,Resource Gap
2025-05-29 16:08:17.716116,Cybersecurity Enhancement,Security,5.3074000826846905,Medium,5,7,0.7582000118120986,Resolved,32,34.36473084453985,65.39057138810281,1.592220024805407,7,2,94.2029182624536,134453,Cost Overrun
2025-05-29 16:08:17.716116,Cloud Migration,Security,0.9073605570800256,Critical,6,9,0.10081783967555841,Resolved,45,88.05483423389569,71.45376077670359,0.2722081671240077,10,1,89.04265931827446,75453,Cost Overrun
2025-05-29 16:08:17.716116,Network Infrastructure,Security,0.6971339166717622,Low,6,6,0.11618898611196037,Open,37,52.52504648304882,94.09109287402224,0.20914017500152865,7,1,95.44052098343698,21375,Quality Issue
2025-05-29 16:08:17.716116,LMS Modernization,Security,3.107410674250546,High,2,8,0.38842633428131823,In Progress,14,57.209981697162505,89.85547456457739,0.9322232022751638,19,1,95.70871876125452,53634,Schedule Delay
2025-05-29 16:08:17.716116,Student Portal Upgrade,Compliance,0.361392849981897,High,2,1,0.361392849981897,Open,19,74.7740385641692,68.83169015446296,0.1084178549945691,23,2,86.23513244645082,88824,Quality Issue
2025-05-29 16:08:17.716116,Cybersecurity Enhancement,Compliance,0.8637423437075413,Medium,3,8,0.10796779296344267,In Progress,13,32.18466352013203,68.62672683518576,0.2591227031122624,20,0,88.53207125516316,146668,Quality Issue
2025-05-29 16:08:17.716116,Cloud Migration,Compliance,1.1441862757511534,Critical,6,2,0.5720931378755767,Resolved,49,21.522064526637884,62.30751112751188,0.343255882725346,9,2,85.93188656080143,77008,Resource Gap
2025-05-29 16:08:17.716116,Network Infrastructure,Compliance,2.3119924033198553,High,4,5,0.46239848066397105,Resolved,25,55.60573351914615,71.44421681349587,0.6935977209959566,9,2,94.70420062505958,141772,Resource Gap
2025-05-29 16:08:17.716116,LMS Modernization,Compliance,4.81824001521812,Critical,4,9,0.5353600016909023,In Progress,28,53.41898918086192,83.76160573008974,1.4454720045654361,6,2,86.89843204760139,109913,Quality Issue
2025-05-29 16:08:17.716116,Student Portal Upgrade,Operational,1.3691008520902415,High,4,3,0.45636695069674715,In Progress,21,4.312778821882867,80.08826480476405,0.41073025562707244,8,2,90.97232416877162,71332,Resource Gap
2025-05-29 16:08:17.716116,Cybersecurity Enhancement,Operational,2.6536347390098545,Low,0,6,0.4422724565016424,Resolved,18,56.265411967130916,76.76642539861147,0.7960904217029563,6,2,85.99615630559099,102904,Resource Gap
2025-05-29 16:08:17.716116,Cloud Migration,Operational,7.418686955489478,High,6,9,0.824298550609942,Resolved,21,86.5429405082686,70.37755498583786,2.2256060866468435,13,2,91.5308409419202,128794,Schedule Delay
2025-05-29 16:08:17.716116,Network Infrastructure,Operational,3.966962901035389,High,3,7,0.5667089858621984,Resolved,27,71.0029347675229,60.70082370818973,1.1900888703106167,18,2,87.85574906591458,126246,Schedule Delay
2025-05-29 16:08:17.716116,LMS Modernization,Operational,0.8235837220153996,Low,3,6,0.13726395366923327,Open,15,39.18430129328524,70.8514146555995,0.2470751166046199,2,1,97.68128802551155,80911,Resource Gap
2025-05-29 16:08:17.716116,Student Portal Upgrade,Financial,1.5861790746737565,High,7,5,0.3172358149347513,In Progress,44,12.73720360333609,88.83035001479456,0.4758537224021269,1,2,98.41574614557784,18200,Resource Gap
2025-05-29 16:08:17.716116,Cybersecurity Enhancement,Financial,1.7869481194331112,Low,4,5,0.3573896238866222,In Progress,35,80.26758125262869,64.88343731958842,0.5360844358299334,6,2,93.90531429005532,132673,Cost Overrun
2025-05-29 16:08:17.716116,Cloud Migration,Financial,7.090047241216074,High,5,9,0.787783026801786,In Progress,36,9.106618208218098,76.58719163189171,2.127014172364822,13,1,88.12575518513238,136776,Cost Overrun
2025-05-29 16:08:17.716116,Network Infrastructure,Financial,0.8460105767653545,Medium,2,2,0.42300528838267726,Open,31,87.11870463503178,86.19115803928717,0.25380317302960637,16,2,93.04832006516199,39404,Cost Overrun
2025-05-29 16:08:17.716116,LMS Modernization,Financial,1.6710633737820713,Critical,3,4,0.4177658434455178,In Progress,25,49.75751441541355,60.22732555997398,0.5013190121346214,8,2,90.95367885980043,113304,Resource Gap
2025-05-29 16:08:17.716116,Student Portal Upgrade,Strategic,3.120970561107826,Critical,3,6,0.5201617601846377,In Progress,46,61.72910760526177,74.18051852059293,0.9362911683323477,16,0,95.23739550605723,125155,Cost Overrun
2025-05-29 16:08:17.716116,Cybersecurity Enhancement,Strategic,7.611137031291996,High,0,9,0.8456818923657773,Resolved,43,57.18696893717321,91.30060126615268,2.2833411093875986,8,0,99.17676261013818,92893,Schedule Delay
2025-05-29 16:08:17.716116,Cloud Migration,Strategic,4.878978591094797,High,0,6,0.8131630985157995,In Progress,5,39.244484854257045,72.6803401406349,1.4636935773284392,10,2,98.42123831463697,89731,Cost Overrun
2025-05-29 16:08:17.716116,Network Infrastructure,Strategic,0.9786191328076641,High,1,4,0.24465478320191603,In Progress,26,83.25283487923821,85.01837422459471,0.29358573984229924,17,0,92.68712056179275,94711,Cost Overrun
