Vendor,Metric,Description,Example
Microsoft,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.3
Adobe,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.7
AWS,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",4.4
Blackboard,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.2
Cisco,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.6
Zoom,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.3
Oracle,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",3.7
Salesforce,Vendor Satisfaction Score,"Average rating from end user, CIO, or stakeholder surveys (1-5 scale)",4.3
Microsoft,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,97%
Adobe,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,98%
AWS,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,98%
Blackboard,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,94%
Cisco,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,98%
Zoom,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,91%
Oracle,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,95%
Salesforce,Service Level Agreement (SLA) Compliance,Percent of time vendor met all SLAs,85%
Microsoft,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,89%
Adobe,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,79%
AWS,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,81%
Blackboard,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,95%
Cisco,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,95%
Zoom,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,98%
Oracle,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,87%
Salesforce,Contract Renewal Rate,Percentage of contracts renewed versus terminated per year,99%
Microsoft,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,0.91
Adobe,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.03
AWS,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.0
Blackboard,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,0.92
Cisco,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.03
Zoom,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.15
Oracle,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.17
Salesforce,Contract Value vs Delivered Value,Ratio of perceived benefit or savings to cost,1.18
Microsoft,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,28
Adobe,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,34
AWS,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,13
Blackboard,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,19
Cisco,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,16
Zoom,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,7
Oracle,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,21
Salesforce,Response Time to Incidents,Average time (in hours) for vendor to respond to support issues,27
Microsoft,Resolution Time for Issues,Average days to fully resolve critical issues,29
Adobe,Resolution Time for Issues,Average days to fully resolve critical issues,10
AWS,Resolution Time for Issues,Average days to fully resolve critical issues,17
Blackboard,Resolution Time for Issues,Average days to fully resolve critical issues,1
Cisco,Resolution Time for Issues,Average days to fully resolve critical issues,6
Zoom,Resolution Time for Issues,Average days to fully resolve critical issues,6
Oracle,Resolution Time for Issues,Average days to fully resolve critical issues,5
Salesforce,Resolution Time for Issues,Average days to fully resolve critical issues,13
Microsoft,Penalty/Fee Occurrences,Count of penalty clauses invoked (e.g. for downtime),2
Adobe,Penalty/Fee Occurrences,Count of penalty clauses invoked (e.g. for downtime),2
AWS,Penalty/Fee Occurrences,Count of penalty clauses invoked (e.g. for downtime),0
