Asset,Metric,Description,Example
Core Network Switch,Asset Name,Description of hardware/software asset,N/A
Dell Server R740,Asset Name,Description of hardware/software asset,N/A
Staff Laptop A14,Asset Name,Description of hardware/software asset,N/A
HVAC Controller,Asset Name,Description of hardware/software asset,N/A
Student Portal Application,Asset Name,Description of hardware/software asset,N/A
Library Firewall,Asset Name,Description of hardware/software asset,N/A
Cisco IP Phone,Asset Name,Description of hardware/software asset,N/A
Facilities UPS,Asset Name,Description of hardware/software asset,N/A
Core Network Switch,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Firewall
Dell Server R740,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",UPS
Staff Laptop A14,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Server
HVAC Controller,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Laptop
Student Portal Application,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Laptop
Library Firewall,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Switch
Cisco IP Phone,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Switch
Facilities UPS,Asset Type,"Category: Server, Switch, Laptop, Application, HVAC, etc.",Application
Core Network Switch,Purchase Date,Original procurement/acquisition date,2024-04-17
Dell Server R740,Purchase Date,Original procurement/acquisition date,2020-12-07
Staff Laptop A14,Purchase Date,Original procurement/acquisition date,2020-02-15
HVAC Controller,Purchase Date,Original procurement/acquisition date,2024-09-12
Student Portal Application,Purchase Date,Original procurement/acquisition date,2023-05-13
Library Firewall,Purchase Date,Original procurement/acquisition date,2022-05-30
Cisco IP Phone,Purchase Date,Original procurement/acquisition date,2024-10-03
Facilities UPS,Purchase Date,Original procurement/acquisition date,2021-12-15
Core Network Switch,Warranty Expiry,Warranty/support end date,2020-06-01
Dell Server R740,Warranty Expiry,Warranty/support end date,2021-10-01
Staff Laptop A14,Warranty Expiry,Warranty/support end date,2020-10-29
HVAC Controller,Warranty Expiry,Warranty/support end date,2024-11-04
Student Portal Application,Warranty Expiry,Warranty/support end date,2024-05-05
Library Firewall,Warranty Expiry,Warranty/support end date,2022-06-13
Cisco IP Phone,Warranty Expiry,Warranty/support end date,2021-12-28
Facilities UPS,Warranty Expiry,Warranty/support end date,2022-03-28
Core Network Switch,Current Condition,"Rating descriptor: New, Good, Fair, Poor",Fair
Dell Server R740,Current Condition,"Rating descriptor: New, Good, Fair, Poor",Poor
Staff Laptop A14,Current Condition,"Rating descriptor: New, Good, Fair, Poor",Poor
HVAC Controller,Current Condition,"Rating descriptor: New, Good, Fair, Poor",Fair
Student Portal Application,Current Condition,"Rating descriptor: New, Good, Fair, Poor",Good
