date,asset_name,asset_type,asset_age_years,lifecycle_stage,annual_maintenance_cost,total_assets,end_of_life_next_12_months,refresh_budget_utilization,maintenance_cost_trend
2025-06-10,HVAC Controller,Firewall,1.9,End-of-Life,12464,10,6,67.29163764267956,6426
2025-05-26,Student Portal Application,Application,1.6,Maintenance,2185,10,1,81.09993861334124,4433
2025-03-20,Core Network Switch,Application,5.1,New,13535,6,0,71.23873301291945,20942
2025-08-16,Facilities UPS,Application,7.8,Maintenance,689,11,2,64.12309956335814,3267
2025-05-02,Core Network Switch,Laptop,6.9,Maintenance,14856,6,6,45.66324805799333,10792
2025-04-28,Library Firewall,Switch,3.4,Active,3112,7,3,57.05127330130058,17787
2025-03-07,Cisco IP Phone,Laptop,7.3,End-of-Life,2085,9,1,66.25779372456223,12805
2025-06-13,HVAC Controller,Phone,0.7,Active,7373,9,1,64.75751180009073,2995
2025-03-13,Cisco IP Phone,UPS,2.9,Active,12490,9,8,93.05860121746746,10529
2025-06-18,Student Portal Application,UPS,3.2,End-of-Life,6831,9,8,59.81367528520412,18448
2025-05-27,Cisco IP Phone,Server,6.3,End-of-Life,3195,12,10,54.94212020444026,2391
2025-08-09,Staff Laptop A14,Server,5.0,Active,10970,7,8,90.74798377718903,10392
2025-05-10,HVAC Controller,Switch,1.2,Maintenance,2954,11,7,78.29611783087483,21115
2025-06-11,Library Firewall,Laptop,4.7,Maintenance,8610,11,2,83.03925243084487,2502
2025-07-19,Cisco IP Phone,Laptop,4.4,Maintenance,6477,7,11,50.39457134966522,17934
2025-06-03,Cisco IP Phone,Server,2.9,End-of-Life,6519,11,4,57.464611457443745,3678
2025-08-17,Student Portal Application,Application,7.6,Maintenance,10414,8,5,89.02339195076289,12921
2025-04-13,Library Firewall,Server,1.3,End-of-Life,13839,9,11,65.8254973935183,12173
2025-05-13,Facilities UPS,Switch,1.4,New,11994,11,0,58.60661246923176,3306
2025-06-28,HVAC Controller,Firewall,7.0,Maintenance,9401,8,8,69.24149856794917,15545
2025-08-18,Facilities UPS,Controller,1.8,End-of-Life,14419,6,3,63.1814801189647,15808
2025-04-20,HVAC Controller,Phone,5.7,Maintenance,7780,10,0,94.88702425244709,19082
2025-06-20,Dell Server R740,Switch,3.6,Maintenance,8664,6,0,56.978094533348624,23633
2025-04-21,HVAC Controller,Switch,7.9,End-of-Life,5431,12,10,63.482722803070224,14688
2025-04-06,Facilities UPS,Firewall,5.2,Active,7625,8,0,52.53587719827147,22666
2025-05-08,Facilities UPS,Firewall,6.9,End-of-Life,7598,9,2,80.55747662190089,10338
2025-07-25,Facilities UPS,Controller,1.8,New,2459,12,1,86.8855052953664,3802
2025-08-24,Cisco IP Phone,Controller,7.1,Maintenance,762,9,9,94.10841716647178,18371
2025-04-28,Core Network Switch,Switch,8.0,Active,12415,10,4,89.13181715946698,9158
2025-03-08,Core Network Switch,Laptop,5.8,End-of-Life,1654,9,7,65.2254063561095,14183
2025-06-23,Staff Laptop A14,Server,1.7,Active,4699,9,2,63.61413832808715,7592
2025-06-06,Core Network Switch,Firewall,2.6,Active,4933,7,5,67.42120714931237,19340
2025-08-15,HVAC Controller,Server,0.6,Active,9992,9,7,77.48164495236074,15446
2025-07-22,Facilities UPS,Server,4.6,Maintenance,8550,11,6,57.52309093027921,20077
2025-04-06,Library Firewall,Firewall,4.2,End-of-Life,3854,8,1,62.50392038473379,9022
2025-04-29,Facilities UPS,Laptop,4.8,End-of-Life,11812,6,11,92.02292921764572,12716
2025-04-14,Student Portal Application,Phone,3.3,New,1560,10,0,72.6382483417745,18990
2025-06-06,HVAC Controller,Server,1.1,New,1480,12,0,60.84610025781389,3816
2025-04-22,Dell Server R740,Laptop,4.8,End-of-Life,13413,12,5,62.93233906480819,18538
2025-07-07,Dell Server R740,Server,6.9,New,13033,12,9,85.46805777392568,7986
2025-04-18,Core Network Switch,UPS,7.3,Active,3450,6,3,84.91475894833876,4368
2025-03-07,Facilities UPS,Phone,6.5,End-of-Life,6502,12,11,73.94324477537793,24303
2025-05-24,Staff Laptop A14,Server,1.7,Active,1648,11,9,88.02023091558377,11907
2025-08-16,Library Firewall,Controller,3.2,End-of-Life,11352,6,7,83.49967765493054,5051
2025-06-15,Student Portal Application,Controller,1.1,New,9683,9,2,76.87149507491033,9987
2025-07-21,Student Portal Application,Switch,4.4,Active,10374,6,7,58.54161256310371,7177
2025-05-28,Student Portal Application,Switch,7.7,Maintenance,1650,6,11,65.44764722071349,3081
2025-06-29,Core Network Switch,Controller,2.4,Active,5737,6,7,91.73069986698549,15184
2025-03-15,Student Portal Application,Controller,5.4,New,7504,12,2,57.386549475057876,3679
2025-08-25,Student Portal Application,Phone,0.6,Active,9935,10,0,60.57066546956471,15245
2025-07-21,Dell Server R740,Switch,4.2,Maintenance,10327,6,4,64.92523671986868,16069
2025-05-07,HVAC Controller,Switch,2.5,Active,7405,8,9,70.05199419576296,11207
2025-05-07,Student Portal Application,Application,5.1,End-of-Life,6378,7,0,88.35994667775019,24687
2025-05-22,Facilities UPS,Application,3.4,End-of-Life,10260,6,2,86.03197378719777,7387
2025-05-05,Core Network Switch,Server,5.4,Maintenance,8223,10,11,50.038900068871335,14161
2025-04-03,Cisco IP Phone,Server,5.4,New,10317,11,1,58.034726411795155,22358
2025-04-26,Student Portal Application,Switch,5.2,New,8043,9,8,85.17404651924244,13657
2025-06-08,Core Network Switch,UPS,6.6,New,1622,9,1,57.50082246080523,4143
2025-07-29,Cisco IP Phone,Phone,4.7,End-of-Life,3940,12,6,82.72714370423412,23352
2025-03-29,Core Network Switch,Server,4.3,End-of-Life,1228,11,10,49.999244358093165,15923
2025-07-17,Student Portal Application,Server,6.9,New,3002,9,3,73.67189440616431,7486
2025-07-21,Student Portal Application,Firewall,2.7,New,11630,10,3,92.30972714408452,3167
2025-04-25,Cisco IP Phone,Firewall,7.5,Active,11674,11,9,67.07652506866884,7334
2025-05-13,Dell Server R740,Controller,1.6,Active,1453,9,0,50.05613380613951,3542
2025-08-20,Student Portal Application,UPS,1.0,Active,7438,7,1,49.06743903209499,23925
2025-05-21,Facilities UPS,UPS,7.0,Active,9191,6,6,94.30005319114355,5141
2025-08-05,Staff Laptop A14,Firewall,3.3,Maintenance,4686,7,9,61.512626450954926,17485
2025-08-19,Student Portal Application,Switch,4.0,Active,14471,9,7,50.87631233885524,11576
2025-08-13,Core Network Switch,Laptop,4.9,Active,1004,12,11,59.285604314093035,2823
2025-08-07,Library Firewall,Firewall,7.7,End-of-Life,13472,10,4,47.17003916490864,13003
2025-08-10,Staff Laptop A14,Laptop,7.8,Active,6690,6,0,79.78743444923086,21870
2025-02-28,Student Portal Application,Phone,4.9,End-of-Life,9162,6,10,59.04815947961151,12975
2025-03-15,Facilities UPS,Phone,3.9,End-of-Life,4968,7,11,77.3424180834362,5719
2025-04-28,Dell Server R740,Application,1.1,New,5335,8,5,46.61579755548252,7320
2025-08-07,Student Portal Application,Application,5.0,End-of-Life,1424,10,2,86.12686214615846,7713
2025-06-22,Facilities UPS,Firewall,5.1,Active,509,11,1,72.5793936272035,7124
2025-06-26,Facilities UPS,Server,6.3,Active,8915,12,0,63.83694849689704,6158
2025-05-24,Staff Laptop A14,Laptop,4.8,New,2133,6,2,51.69260594003166,2404
2025-04-23,Library Firewall,Application,6.6,Maintenance,10360,11,2,72.77158528013138,5636
2025-08-11,Dell Server R740,Switch,3.3,New,7745,6,0,92.70255136293612,19100
2025-03-03,Library Firewall,Server,5.5,End-of-Life,10773,9,7,46.109237101515085,18633
2025-08-08,Library Firewall,Phone,6.7,Active,4863,6,5,93.39868827199115,6858
2025-04-25,Core Network Switch,UPS,4.1,Maintenance,11970,10,4,76.96806784871211,22914
2025-06-10,Library Firewall,UPS,0.6,Active,10021,7,1,64.61220225498661,12209
2025-04-20,Core Network Switch,Phone,3.9,Maintenance,5615,11,6,71.18011380075056,12320
2025-07-10,Student Portal Application,Application,3.9,New,5949,6,11,48.311798892593295,6164
2025-04-02,Library Firewall,Firewall,3.1,Active,4318,8,10,48.7931664054332,19144
2025-07-28,Cisco IP Phone,UPS,1.6,Active,6531,9,7,79.82507331135395,10472
2025-06-03,Staff Laptop A14,Laptop,5.5,Active,12848,7,2,47.043430813323944,23508
2025-05-30,Dell Server R740,Firewall,0.7,Active,6876,9,9,89.71086314479629,12160
