Component,Metric,Description,Example
Campus WiFi,Asset/Component,Infrastructure element tracked for capacity,N/A
Data Analytics Cluster,Asset/Component,Infrastructure element tracked for capacity,N/A
Email Platform,Asset/Component,Infrastructure element tracked for capacity,N/A
Student Portal,Asset/Component,Infrastructure element tracked for capacity,N/A
Core Network,Asset/Component,Infrastructure element tracked for capacity,N/A
Virtual Desktop,Asset/Component,Infrastructure element tracked for capacity,N/A
File Storage,Asset/Component,Infrastructure element tracked for capacity,N/A
Meeting Platform,Asset/Component,Infrastructure element tracked for capacity,N/A
Campus WiFi,Peak Utilization (%),Highest observed utilization for component/system,77.7%
Data Analytics Cluster,Peak Utilization (%),Highest observed utilization for component/system,65.1%
Email Platform,Peak Utilization (%),Highest observed utilization for component/system,32.4%
Student Portal,Peak Utilization (%),Highest observed utilization for component/system,52.8%
Core Network,Peak Utilization (%),Highest observed utilization for component/system,81.6%
Virtual Desktop,Peak Utilization (%),Highest observed utilization for component/system,61.3%
File Storage,Peak Utilization (%),Highest observed utilization for component/system,36.7%
Meeting Platform,Peak Utilization (%),Highest observed utilization for component/system,87.0%
Campus WiFi,Average Utilization (%),Mean utilization over selected time window,94.7%
Data Analytics Cluster,Average Utilization (%),Mean utilization over selected time window,96.8%
Email Platform,Average Utilization (%),Mean utilization over selected time window,37.5%
Student Portal,Average Utilization (%),Mean utilization over selected time window,95.8%
Core Network,Average Utilization (%),Mean utilization over selected time window,40.6%
Virtual Desktop,Average Utilization (%),Mean utilization over selected time window,25.0%
File Storage,Average Utilization (%),Mean utilization over selected time window,94.0%
Meeting Platform,Average Utilization (%),Mean utilization over selected time window,92.1%
Campus WiFi,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",45.0%
Data Analytics Cluster,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",35.5%
Email Platform,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",52.7%
Student Portal,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",61.3%
Core Network,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",46.1%
Virtual Desktop,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",55.2%
File Storage,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",85.3%
Meeting Platform,Seasonal/Weekly Utilization Pattern,"Pattern or index for regular spikes/dips (e.g., semester start)",65.2%
Campus WiFi,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,85.3%
Data Analytics Cluster,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,97.8%
Email Platform,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,47.9%
Student Portal,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,29.8%
Core Network,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,81.0%
Virtual Desktop,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,34.2%
File Storage,Capacity Threshold (%),Pre-set upper utilization limit before scaling action,77.4%
