Service,Metric,Description,Example
AWS EC2,Service/Resource,Cloud platform/instance or service,N/A
AWS S3,Service/Resource,Cloud platform/instance or service,N/A
Azure SQL,Service/Resource,Cloud platform/instance or service,N/A
Google BigQuery,Service/Resource,Cloud platform/instance or service,N/A
Zoom Cloud,Service/Resource,Cloud platform/instance or service,N/A
Canvas LMS Cloud,Service/Resource,Cloud platform/instance or service,N/A
Tableau Cloud,Service/Resource,Cloud platform/instance or service,N/A
Dropbox Business,Service/Resource,Cloud platform/instance or service,N/A
AWS EC2,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$11,162"
AWS S3,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$17,441"
Azure SQL,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$34,446"
Google BigQuery,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$21,716"
Zoom Cloud,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$34,111"
Canvas LMS Cloud,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$18,038"
Tableau Cloud,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$17,518"
Dropbox Business,Cloud Spend (monthly),Total monthly spend on cloud resources/services,"$30,436"
AWS EC2,Resource Utilization (%),Actual usage as percent of provisioned capacity,25.1%
AWS S3,Resource Utilization (%),Actual usage as percent of provisioned capacity,31.1%
Azure SQL,Resource Utilization (%),Actual usage as percent of provisioned capacity,22.6%
Google BigQuery,Resource Utilization (%),Actual usage as percent of provisioned capacity,97.5%
Zoom Cloud,Resource Utilization (%),Actual usage as percent of provisioned capacity,68.4%
Canvas LMS Cloud,Resource Utilization (%),Actual usage as percent of provisioned capacity,87.4%
Tableau Cloud,Resource Utilization (%),Actual usage as percent of provisioned capacity,63.9%
Dropbox Business,Resource Utilization (%),Actual usage as percent of provisioned capacity,26.0%
AWS EC2,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$12,789"
AWS S3,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$9,264"
Azure SQL,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$19,585"
Google BigQuery,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$23,677"
Zoom Cloud,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$7,837"
Canvas LMS Cloud,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$8,686"
Tableau Cloud,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$14,949"
Dropbox Business,Idle Resource Cost ($),Spend on underutilized or inactive assets,"$25,955"
AWS EC2,Right-Sizing Status,Indicator if the resource is appropriately resized (Yes/No),Yes
AWS S3,Right-Sizing Status,Indicator if the resource is appropriately resized (Yes/No),Yes
Azure SQL,Right-Sizing Status,Indicator if the resource is appropriately resized (Yes/No),No
Google BigQuery,Right-Sizing Status,Indicator if the resource is appropriately resized (Yes/No),No
