Infrastructure,Metric,Description,Example
Network,System Uptime (%),Percent of time system/network is available and operational,92.02%
WiFi,System Uptime (%),Percent of time system/network is available and operational,99.76%
Campus Servers,System Uptime (%),Percent of time system/network is available and operational,97.55%
Cloud Storage,System Uptime (%),Percent of time system/network is available and operational,94.16%
VPN Gateway,System Uptime (%),Percent of time system/network is available and operational,97.36%
Firewall,System Uptime (%),Percent of time system/network is available and operational,98.19%
VoIP Phones,System Uptime (%),Percent of time system/network is available and operational,96.8%
Network,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),29.97
WiFi,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),50.89
Campus Servers,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),17.91
Cloud Storage,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),18.58
VPN Gateway,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),1.92
Firewall,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),7.29
VoIP Phones,Scheduled Downtime (hrs),Planned outages for upgrades/maintenance (per month/year),21.77
Network,Unplanned Downtime (hrs),Unscheduled outages in service window,46.21
WiFi,Unplanned Downtime (hrs),Unscheduled outages in service window,23.33
Campus Servers,Unplanned Downtime (hrs),Unscheduled outages in service window,13.52
Cloud Storage,Unplanned Downtime (hrs),Unscheduled outages in service window,66.05
VPN Gateway,Unplanned Downtime (hrs),Unscheduled outages in service window,19.65
Firewall,Unplanned Downtime (hrs),Unscheduled outages in service window,19.84
VoIP Phones,Unplanned Downtime (hrs),Unscheduled outages in service window,68.73
Network,Mean Time to Recovery (MTTR),Average time to restore full service after outage,9.33
WiFi,Mean Time to Recovery (MTTR),Average time to restore full service after outage,53.85
Campus Servers,Mean Time to Recovery (MTTR),Average time to restore full service after outage,0.58
Cloud Storage,Mean Time to Recovery (MTTR),Average time to restore full service after outage,61.72
VPN Gateway,Mean Time to Recovery (MTTR),Average time to restore full service after outage,50.17
Firewall,Mean Time to Recovery (MTTR),Average time to restore full service after outage,39.91
VoIP Phones,Mean Time to Recovery (MTTR),Average time to restore full service after outage,67.35
Network,Mean Time Between Failures (MTBF),Average operating time between system failures,37.01
WiFi,Mean Time Between Failures (MTBF),Average operating time between system failures,12.95
Campus Servers,Mean Time Between Failures (MTBF),Average operating time between system failures,38.75
Cloud Storage,Mean Time Between Failures (MTBF),Average operating time between system failures,21.27
VPN Gateway,Mean Time Between Failures (MTBF),Average operating time between system failures,0.96
Firewall,Mean Time Between Failures (MTBF),Average operating time between system failures,63.66
VoIP Phones,Mean Time Between Failures (MTBF),Average operating time between system failures,47.33
Network,Peak/Mean Response Time (ms),Average time to process user/system requests,67.85
WiFi,Peak/Mean Response Time (ms),Average time to process user/system requests,53.69
Campus Servers,Peak/Mean Response Time (ms),Average time to process user/system requests,19.39
Cloud Storage,Peak/Mean Response Time (ms),Average time to process user/system requests,26.18
VPN Gateway,Peak/Mean Response Time (ms),Average time to process user/system requests,38.0
Firewall,Peak/Mean Response Time (ms),Average time to process user/system requests,39.47
VoIP Phones,Peak/Mean Response Time (ms),Average time to process user/system requests,18.77
Network,Critical Incident Count,Number of P1/P2 incidents reported per period,33
WiFi,Critical Incident Count,Number of P1/P2 incidents reported per period,36
Campus Servers,Critical Incident Count,Number of P1/P2 incidents reported per period,31
Cloud Storage,Critical Incident Count,Number of P1/P2 incidents reported per period,48
VPN Gateway,Critical Incident Count,Number of P1/P2 incidents reported per period,15
Firewall,Critical Incident Count,Number of P1/P2 incidents reported per period,25
VoIP Phones,Critical Incident Count,Number of P1/P2 incidents reported per period,26
