date,asset,security_incidents,vulnerability_score,compliance_score,security_training_completion,threat_level
2025-06-03,Cloud Servers,4,4.870976697535771,95.92778437642099,77.590598453596,High
2025-08-18,Website,5,7.252433750731006,91.1844508829279,94.60586248086085,Medium
2025-04-25,Campus WiFi,1,3.691514257428375,90.09333497597306,74.76814968977237,Low
2025-08-22,Email Suite,2,7.950637285875496,94.298823983005,74.98114886020785,High
2025-05-01,Campus WiFi,6,5.375331207638284,95.71224460343473,93.51048018251868,Medium
2025-05-20,Student Portal,7,5.936330131854223,92.83410396251479,87.17597876456202,High
2025-04-16,Email Suite,7,3.9693986340700365,91.35585875679578,89.0611739668717,Medium
2025-07-18,Student Portal,0,6.907137833930177,92.14207732638853,88.40599525334582,Medium
2025-03-13,Campus WiFi,5,3.3789603547857103,92.73727174887448,79.30433138117243,High
2025-08-12,Website,4,3.671858378690218,88.06193720453017,74.57094449672043,Medium
2025-07-27,Student Portal,5,7.819559152071145,92.99764657911936,73.57502806664316,Medium
2025-03-31,ERP System,1,4.2043443721824225,86.21824105623904,83.9196227732047,High
2025-05-31,Campus WiFi,4,3.0507388407821194,94.41870460177454,75.51260658589118,Medium
2025-05-22,Campus WiFi,6,3.579484079108067,85.00914747065819,91.76672585313794,Medium
2025-08-23,Website,3,6.501594583633054,87.12867994394288,81.45808986468938,High
2025-03-16,Email Suite,7,7.524437902055812,85.56082766670973,77.28652283734485,High
2025-06-18,ERP System,4,4.8084143254057405,91.52819178115746,89.01439106138206,High
2025-03-01,Cloud Servers,1,5.077532988648594,94.85716579849874,93.37930216816233,Medium
2025-06-01,Email Suite,4,6.046397910883889,95.6805066977611,71.1363125108949,Low
2025-08-14,ERP System,3,6.0201952268454,91.5566226030734,89.33881854662218,Low
2025-07-05,Website,5,5.306959771498232,91.13450058547683,90.97950987450747,Low
2025-04-12,ERP System,2,4.694232607580755,88.32469979453161,71.24035933347093,Low
2025-07-13,ERP System,5,6.173747914124348,93.55079022959055,74.99603178204849,High
2025-07-16,Campus WiFi,2,5.9090940999733546,87.95094029096563,83.91140514563641,Low
2025-05-23,Campus WiFi,7,4.323935107851884,85.92631264368217,70.47888713878132,High
2025-04-22,Core Network,0,3.4065536000690884,89.83117243718527,70.75259680528298,High
2025-05-01,ERP System,6,3.5929784445744337,93.56049055715926,86.96249920731594,Medium
2025-03-27,Email Suite,5,7.682968777401487,97.38797164774407,88.4766743984843,Medium
2025-08-23,ERP System,3,7.7801619226762275,85.14398294309969,87.9012493310536,Low
2025-05-21,Email Suite,3,4.039831182759489,86.10515164125178,81.06995341359344,Low
2025-08-16,Email Suite,7,7.007430741533766,98.09678318938494,74.64332680012964,Medium
2025-07-09,Cloud Servers,3,2.9893086593908307,88.3598510941794,87.75331601411344,High
2025-06-26,Cloud Servers,4,4.680287163551122,92.02125144490233,76.16646539513516,Medium
2025-06-25,Email Suite,0,6.507062821724256,95.55415315793879,84.44727781735222,High
2025-07-29,Student Portal,2,6.542288688191753,85.77847730352644,70.17194905549124,Low
2025-04-12,Email Suite,6,4.41443755579587,97.3842164352146,92.38907120329597,High
2025-07-09,Campus WiFi,7,6.146334876435571,88.80286453784117,74.76524582686125,Medium
2025-07-08,Email Suite,4,4.5797457186789305,96.63328839477096,72.9972773368178,Medium
2025-06-23,Cloud Servers,4,4.956917507196947,89.19918897687832,84.90204888095765,Medium
2025-03-24,Student Portal,7,2.6994984473341805,92.65373954900983,92.56032583215259,High
2025-05-29,Email Suite,4,6.925886103794845,92.93247362467648,86.42576245585269,High
2025-04-08,Email Suite,1,3.960768235146664,85.15135517089274,90.6637768547866,Low
2025-03-04,Email Suite,4,2.453966623424665,90.06157958255653,72.30419896181081,Medium
