Asset,Metric,Description,Example
Core Network,Asset/System,"System, application, or device being tracked",N/A
Email Suite,Asset/System,"System, application, or device being tracked",N/A
ERP System,Asset/System,"System, application, or device being tracked",N/A
Website,Asset/System,"System, application, or device being tracked",N/A
Student Portal,Asset/System,"System, application, or device being tracked",N/A
Cloud Servers,Asset/System,"System, application, or device being tracked",N/A
Campus WiFi,Asset/System,"System, application, or device being tracked",N/A
Core Network,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",8
Email Suite,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",21
ERP System,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",12
Website,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",5
Student Portal,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",23
Cloud Servers,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",0
Campus WiFi,Open Vulnerabilities Count,"Active, unresolved security vulnerabilities",27
Core Network,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Email Suite,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
ERP System,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Website,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Student Portal,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Cloud Servers,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Campus WiFi,Critical Vulnerabilities %,Share of open vulnerabilities rated as critical or high,N/A
Core Network,Average Vulnerability Age (days),Mean age of current open vulnerabilities,21.3
Email Suite,Average Vulnerability Age (days),Mean age of current open vulnerabilities,39.1
ERP System,Average Vulnerability Age (days),Mean age of current open vulnerabilities,23.4
Website,Average Vulnerability Age (days),Mean age of current open vulnerabilities,23.3
Student Portal,Average Vulnerability Age (days),Mean age of current open vulnerabilities,9.8
Cloud Servers,Average Vulnerability Age (days),Mean age of current open vulnerabilities,19.5
Campus WiFi,Average Vulnerability Age (days),Mean age of current open vulnerabilities,66.2
Core Network,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,74.2%
Email Suite,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,90.1%
ERP System,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,95.3%
Website,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,93.2%
Student Portal,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,72.4%
Cloud Servers,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,70.9%
Campus WiFi,Patch Compliance Rate (%),Percent of risky vulnerabilities remediated within SLA,66.6%
Core Network,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Email Suite,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
ERP System,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Website,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Student Portal,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Cloud Servers,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Campus WiFi,Number of Security Incidents,"Detected breaches, malware, or suspicious events per period",N/A
Core Network,Mean Time to Detect (MTTD),Average hours or days to discover new incident,4.8
Email Suite,Mean Time to Detect (MTTD),Average hours or days to discover new incident,16.0
ERP System,Mean Time to Detect (MTTD),Average hours or days to discover new incident,71.9
Website,Mean Time to Detect (MTTD),Average hours or days to discover new incident,28.1
Student Portal,Mean Time to Detect (MTTD),Average hours or days to discover new incident,55.2
Cloud Servers,Mean Time to Detect (MTTD),Average hours or days to discover new incident,35.1
Campus WiFi,Mean Time to Detect (MTTD),Average hours or days to discover new incident,37.7
Core Network,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,68.2
Email Suite,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,9.7
ERP System,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,34.6
Website,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,11.9
Student Portal,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,39.7
Cloud Servers,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,22.9
Campus WiFi,Mean Time to Respond (MTTR),Average hours to contain or remediate incident,39.6
Core Network,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,88.3%
Email Suite,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,77.8%
ERP System,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,86.8%
Website,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,87.5%
Student Portal,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,79.7%
Cloud Servers,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,79.1%
Campus WiFi,Incident Escalation Rate,Percent incidents requiring executive/third-party involvement,78.7%
Core Network,User Account Compromises,Count per period,12
Email Suite,User Account Compromises,Count per period,24
ERP System,User Account Compromises,Count per period,14
Website,User Account Compromises,Count per period,12
Student Portal,User Account Compromises,Count per period,1
Cloud Servers,User Account Compromises,Count per period,2
Campus WiFi,User Account Compromises,Count per period,24
Core Network,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,12
Email Suite,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,19
ERP System,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,10
Website,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,17
Student Portal,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,19
Cloud Servers,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,23
Campus WiFi,Phishing/Social Eng. Reports,User-reported phishing or social engineering events,2
Core Network,Failed Login Attempts,Number per system per week or month,23
Email Suite,Failed Login Attempts,Number per system per week or month,18
ERP System,Failed Login Attempts,Number per system per week or month,26
Website,Failed Login Attempts,Number per system per week or month,26
Student Portal,Failed Login Attempts,Number per system per week or month,16
Cloud Servers,Failed Login Attempts,Number per system per week or month,13
