System,Metric,Description,Example
Office 365,Total Licensed Seats,Number of paid licenses/seats provisioned for system,652
Canvas LMS,Total Licensed Seats,Number of paid licenses/seats provisioned for system,319
Zoom,Total Licensed Seats,Number of paid licenses/seats provisioned for system,366
Blackboard,Total Licensed Seats,Number of paid licenses/seats provisioned for system,254
Cisco WebEx,Total Licensed Seats,Number of paid licenses/seats provisioned for system,1019
Tableau,Total Licensed Seats,Number of paid licenses/seats provisioned for system,285
AWS Cloud,Total Licensed Seats,Number of paid licenses/seats provisioned for system,248
Office 365,Active Users,Count of active users in the current month/period,181
Canvas LMS,Active Users,Count of active users in the current month/period,526
Zoom,Active Users,Count of active users in the current month/period,288
Blackboard,Active Users,Count of active users in the current month/period,268
Cisco WebEx,Active Users,Count of active users in the current month/period,371
Tableau,Active Users,Count of active users in the current month/period,184
AWS Cloud,Active Users,Count of active users in the current month/period,166
Office 365,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,66.4%
Canvas LMS,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,83.8%
Zoom,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,74.6%
Blackboard,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,76.4%
Cisco WebEx,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,54.1%
Tableau,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,46.6%
AWS Cloud,Utilization Rate (%),Active Users ÷ Total Licensed Seats × 100,56.3%
Office 365,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,46.2%
Canvas LMS,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,79.3%
Zoom,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,57.1%
Blackboard,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,66.5%
Cisco WebEx,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,78.5%
Tableau,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,45.1%
AWS Cloud,Peak Utilization Rate (%),Peak active users ÷ licensed seats × 100,46.9%
Office 365,Unused Licenses,Licensed seats minus active users,166
Canvas LMS,Unused Licenses,Licensed seats minus active users,142
Zoom,Unused Licenses,Licensed seats minus active users,18
Blackboard,Unused Licenses,Licensed seats minus active users,75
Cisco WebEx,Unused Licenses,Licensed seats minus active users,26
Tableau,Unused Licenses,Licensed seats minus active users,93
AWS Cloud,Unused Licenses,Licensed seats minus active users,163
Office 365,Unused License Cost,Cost for unused licenses this period,False
Canvas LMS,Unused License Cost,Cost for unused licenses this period,False
Zoom,Unused License Cost,Cost for unused licenses this period,False
Blackboard,Unused License Cost,Cost for unused licenses this period,True
Cisco WebEx,Unused License Cost,Cost for unused licenses this period,True
Tableau,Unused License Cost,Cost for unused licenses this period,False
AWS Cloud,Unused License Cost,Cost for unused licenses this period,True
Office 365,Cost per Active User,Total license cost ÷ current active users,"$16,776"
Canvas LMS,Cost per Active User,Total license cost ÷ current active users,"$38,188"
Zoom,Cost per Active User,Total license cost ÷ current active users,"$10,855"
Blackboard,Cost per Active User,Total license cost ÷ current active users,"$31,926"
Cisco WebEx,Cost per Active User,Total license cost ÷ current active users,"$21,091"
Tableau,Cost per Active User,Total license cost ÷ current active users,"$50,589"
AWS Cloud,Cost per Active User,Total license cost ÷ current active users,"$58,564"
Office 365,License Renewal Date,Next contract renewal date per system,2026-08-13
Canvas LMS,License Renewal Date,Next contract renewal date per system,2026-06-26
Zoom,License Renewal Date,Next contract renewal date per system,2026-01-16
Blackboard,License Renewal Date,Next contract renewal date per system,2026-03-10
Cisco WebEx,License Renewal Date,Next contract renewal date per system,2026-07-14
Tableau,License Renewal Date,Next contract renewal date per system,2026-07-10
