date,system_name,technical_debt_score,legacy_systems_count,maintenance_cost_annual,modernization_priority
2025-08-21,Database Server,7.20519418346328,4,32689,High
2025-06-01,Old Website,4.208783526321198,11,73416,Medium
2025-04-21,Student Information System,5.913805790480042,9,54156,Medium
2025-08-04,File Server,4.4984650753761315,3,73199,High
2025-05-14,Legacy ERP,3.096168938730739,2,15828,Low
2025-03-01,Database Server,5.364540916647019,10,57311,High
2025-08-14,File Server,7.598083278627914,5,10636,High
2025-05-12,Email Server,6.741031867484024,5,5654,Medium
2025-07-04,Email Server,7.0583902134600365,4,56028,Medium
2025-05-03,Email Server,4.354737312903775,10,44148,Low
2025-08-14,Database Server,3.7821187802595935,4,75247,High
2025-04-21,Legacy ERP,3.2065878514398873,10,25836,Low
2025-03-08,Email Server,5.418187867696419,4,16957,High
2025-06-17,Legacy ERP,7.508539905187816,10,56567,Medium
2025-05-16,Old Website,8.629087035148334,4,33742,Low
2025-06-08,Old Website,4.2288144543372574,9,23830,Low
2025-05-21,File Server,4.6965927423605915,6,31627,High
2025-07-23,Email Server,8.859705823890055,2,47292,Medium
2025-08-17,Old Website,6.255439961795734,9,13417,Low
2025-03-03,Database Server,6.64926826059868,2,32675,Medium
2025-05-18,Email Server,4.382319836315337,2,24177,Low
2025-08-13,Legacy ERP,3.7094303548328433,11,9951,High
2025-08-20,Legacy ERP,7.04422720454974,10,76101,Medium
2025-07-28,File Server,3.4648978427543153,11,5835,High
2025-07-07,Student Information System,7.150320684808133,7,7429,High
2025-08-05,Old Website,6.086937613872233,7,36099,Medium
2025-05-18,Student Information System,7.786828088046435,11,45387,Medium
2025-08-04,Email Server,7.5415659560486485,1,11997,Medium
2025-07-01,Student Information System,3.666905278699871,5,44619,High
2025-04-12,Legacy ERP,7.958787656953097,5,49115,High
2025-07-28,Email Server,4.8682916393555065,5,64342,Low
2025-04-05,Database Server,6.904999329368909,2,60501,Medium
2025-08-10,Email Server,7.292286103071931,3,38132,High
2025-08-18,Database Server,4.996376859062274,2,44236,High
2025-03-09,Legacy ERP,4.975383692048367,7,49921,Medium
2025-03-09,File Server,5.111309006082038,3,28956,Low
2025-05-30,Student Information System,4.690950019772832,5,6168,Low
2025-04-26,Student Information System,4.1327641666406665,4,8516,Medium
2025-08-17,Old Website,7.701009015527453,1,42879,Low
2025-04-11,Student Information System,8.920125669702145,10,60390,Medium
2025-04-25,Student Information System,7.7111393065370475,11,74711,Medium
2025-06-23,Email Server,6.283828464688106,9,46115,Low
2025-06-27,Database Server,6.47897745628635,6,76260,High
2025-07-05,Student Information System,8.992757614893927,3,24881,Low
2025-04-08,Old Website,7.380010326485169,6,19390,Low
2025-06-05,Database Server,5.8333585545372255,7,43258,Low
2025-05-25,Student Information System,3.03710293584538,2,27738,High
2025-06-25,Legacy ERP,8.764477816628133,4,30616,High
2025-08-21,Legacy ERP,5.699662045613158,4,51098,Low
2025-05-07,Legacy ERP,4.725067196302554,11,76206,Low
2025-07-09,File Server,3.775342800616496,4,24159,Low
2025-04-19,File Server,4.77253221788259,10,22106,Medium
2025-03-16,File Server,7.6329121656950285,3,26120,High
2025-03-31,Email Server,4.43787470974534,8,39812,High
2025-03-26,Old Website,5.027889302819017,4,41160,Low
2025-08-23,Database Server,6.027017544329015,11,67559,Medium
2025-06-10,Email Server,6.077177276261947,11,76387,Medium
2025-08-13,Student Information System,6.415238778776566,8,32445,High
2025-08-08,Email Server,3.5546971022223994,6,19266,High
2025-07-14,Old Website,7.309007685363082,8,40362,Medium
2025-07-10,File Server,5.088311732863923,4,76846,Low
2025-08-02,Email Server,3.963801675711304,6,32926,Low
2025-08-12,Email Server,7.930514501912342,9,63502,Low
2025-06-02,Email Server,8.691121965083491,2,11523,High
2025-07-23,Legacy ERP,5.668276661150014,10,72600,High
2025-04-30,Student Information System,7.2959081612503445,11,75134,High
2025-06-26,Legacy ERP,3.3845682662170526,6,33716,Medium
2025-08-25,File Server,5.3725096214542685,6,12857,Low
2025-08-06,Old Website,8.626954799910402,6,16826,High
2025-05-14,Database Server,5.086934084598276,7,10495,Medium
2025-03-03,Legacy ERP,4.738367902429288,1,53773,High
2025-05-07,Legacy ERP,3.044351408665758,3,33948,Medium
2025-03-03,Old Website,5.510074844962548,4,63535,Medium
2025-04-03,Email Server,5.5933863570270494,4,71381,Low
2025-08-01,File Server,7.123406060764097,8,59512,High
2025-05-19,Student Information System,8.957660794697443,4,46025,High
2025-03-21,Old Website,7.869762086669121,3,34113,Low
2025-05-22,Database Server,4.350966145295591,5,62836,Low
2025-06-27,Legacy ERP,3.9381728498692503,8,8407,Low
2025-04-03,Old Website,4.564252644797113,10,31505,Medium
