project_id,project_name,requirement_id,requirement_name,requirement_type,priority,status,source,owner,completion_pct,test_coverage_pct,date_identified,target_completion,effort_estimate_hours,actual_effort_hours,complexity_score,risk_level
PQC-001,Student Portal Upgrade,PQC-001-REQ-001,Requirement 1,Technical,Medium,Testing,Business User,Carol Kim,60.44173792778172,48.58569821715058,2024-02-12,2024-06-26,20,75,3,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-002,Requirement 2,Non-Functional,Medium,Approved,Business User,Bob Rodriguez,45.653457048291024,19.659639349515025,2024-02-03,2024-07-02,69,79,7,High
PQC-001,Student Portal Upgrade,PQC-001-REQ-003,Requirement 3,Functional,High,Testing,Business User,David Thompson,35.2568856334169,27.430313234222613,2024-01-20,2024-07-24,34,141,5,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-004,Requirement 4,Non-Functional,High,Completed,Technical Team,David Thompson,51.87906217433661,63.27170630056601,2024-03-03,2024-06-13,65,56,7,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-005,Requirement 5,Functional,Critical,Completed,Compliance,Alice Chen,97.66149558326529,36.99333119864082,2024-02-06,2024-06-25,103,133,3,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-006,Requirement 6,Compliance,High,Completed,Stakeholder,Carol Kim,67.21355474058785,68.54576537958458,2024-03-13,2024-07-15,45,28,5,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-007,Requirement 7,Business,Medium,Testing,Business User,David Thompson,50.81987767407187,62.62315261117937,2024-01-17,2024-07-12,66,94,3,High
PQC-001,Student Portal Upgrade,PQC-001-REQ-008,Requirement 8,Technical,Medium,Approved,Business User,David Thompson,38.67353463005374,84.30569898630611,2024-01-15,2024-07-21,99,46,3,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-009,Requirement 9,Non-Functional,Low,In Development,Business User,Bob Rodriguez,99.62536997579244,86.88774161599143,2024-01-19,2024-06-25,39,13,9,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-010,Requirement 10,Business,Medium,In Development,Business User,David Thompson,85.09284487675127,84.20714947988527,2024-02-19,2024-06-24,111,88,3,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-011,Requirement 11,Functional,Medium,Identified,Stakeholder,Bob Rodriguez,54.87337893665861,62.27056779234239,2024-01-30,2024-06-21,107,72,1,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-012,Requirement 12,Technical,High,Testing,Compliance,Alice Chen,30.80607918523892,48.82862074994094,2024-03-13,2024-06-11,93,123,6,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-013,Requirement 13,Compliance,High,Completed,Compliance,Bob Rodriguez,35.00784076946757,58.05930258275084,2024-03-01,2024-06-29,76,65,3,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-014,Requirement 14,Functional,Critical,Completed,Technical Team,Alice Chen,27.95603417967586,79.5144620039633,2024-03-14,2024-06-21,44,28,1,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-015,Requirement 15,Business,Low,Identified,Business User,Alice Chen,19.091103115034603,24.162737120114112,2024-01-17,2024-07-14,32,58,3,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-016,Requirement 16,Non-Functional,Medium,Completed,Technical Team,Carol Kim,51.832965236373674,78.96357647351599,2024-01-31,2024-06-22,40,141,6,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-017,Requirement 17,Compliance,High,In Development,Technical Team,Alice Chen,61.15137108656805,7.343476236021632,2024-01-21,2024-06-05,43,24,1,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-018,Requirement 18,Technical,Medium,Identified,Technical Team,Bob Rodriguez,43.847412301808696,60.48235217656794,2024-03-05,2024-07-07,65,67,6,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-019,Requirement 19,Functional,Critical,Completed,Technical Team,Carol Kim,12.706051265188478,47.001893404932396,2024-03-07,2024-06-02,115,112,5,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-020,Requirement 20,Compliance,Critical,In Development,Compliance,Carol Kim,13.835309241780136,11.947088001867282,2024-03-04,2024-06-02,113,149,8,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-021,Requirement 21,Technical,Medium,Approved,Technical Team,Alice Chen,8.087296661719767,38.5483027446097,2024-01-26,2024-06-09,8,62,1,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-022,Requirement 22,Functional,Medium,Approved,Stakeholder,Alice Chen,73.78969166957685,49.891864726026064,2024-02-05,2024-07-03,74,80,3,Medium
PQC-001,Student Portal Upgrade,PQC-001-REQ-023,Requirement 23,Functional,High,Identified,Compliance,Alice Chen,31.141330939129418,88.15594757593577,2024-01-19,2024-07-20,23,89,7,Low
PQC-001,Student Portal Upgrade,PQC-001-REQ-024,Requirement 24,Compliance,High,Testing,Business User,David Thompson,4.530400977204452,33.71513531638241,2024-03-12,2024-07-13,65,100,1,Medium
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-001,Requirement 1,Technical,Medium,Completed,Technical Team,Alice Chen,86.71989335550037,57.27632377014101,2023-09-20,2024-01-22,19,128,1,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-002,Requirement 2,Business,Medium,Testing,Business User,Alice Chen,65.1484771857788,18.601592388907086,2023-09-29,2024-02-02,19,99,2,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-003,Requirement 3,Non-Functional,Medium,Identified,Stakeholder,Alice Chen,84.48753109694546,2.094474216224328,2023-10-04,2023-12-26,112,139,4,Medium
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-004,Requirement 4,Non-Functional,Medium,Completed,Stakeholder,Alice Chen,80.34809303848486,25.383111531417583,2023-09-10,2024-01-09,80,103,4,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-005,Requirement 5,Compliance,High,Testing,Compliance,Alice Chen,23.823615240397945,33.995599755866536,2023-10-19,2024-01-26,119,90,3,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-006,Requirement 6,Technical,Low,Completed,Business User,Carol Kim,95.68008851264564,60.9092913981873,2023-10-22,2024-01-27,118,148,5,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-007,Requirement 7,Technical,High,Testing,Stakeholder,Alice Chen,79.15790437258485,71.06563285150985,2023-10-15,2023-12-24,49,146,5,Medium
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-008,Requirement 8,Compliance,High,Approved,Stakeholder,Alice Chen,76.15106317174723,55.6396256984635,2023-10-08,2024-02-08,53,145,8,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-009,Requirement 9,Non-Functional,Medium,Approved,Business User,Alice Chen,23.322807242452782,52.317487550410405,2023-10-15,2024-02-14,93,149,7,High
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-010,Requirement 10,Technical,High,Testing,Compliance,Alice Chen,37.798759012225446,63.45759278669939,2023-09-10,2024-01-20,26,43,3,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-011,Requirement 11,Non-Functional,High,Identified,Stakeholder,David Thompson,11.752624677710488,58.42892719044572,2023-09-01,2024-02-12,84,96,9,Low
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-012,Requirement 12,Functional,Critical,In Development,Business User,Bob Rodriguez,80.21092490267341,88.01106018788438,2023-10-15,2023-12-30,28,84,6,High
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-013,Requirement 13,Technical,Critical,In Development,Stakeholder,Alice Chen,52.30978441701488,56.64587743217363,2023-09-14,2024-01-31,38,5,5,Medium
PQC-002,Cloud Migration Phase 1,PQC-002-REQ-014,Requirement 14,Business,Low,Identified,Stakeholder,Bob Rodriguez,95.04114840765587,80.12374055018248,2023-09-12,2024-01-22,35,121,8,Low
